NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Kessler Edwards,Sac,F,54,5.1,0.556,0.467,0.385,0.537,1.7,0.8,0.3,0.2,0.1,0.1
Bradley Beal,Pho,G,53,33.3,0.813,0.552,0.43,0.582,18.2,4.4,5,1,0.5,2.5
Torrey Craig,Chi,F,53,19.8,0.75,0.49,0.392,0.55,5.7,4.1,1.1,0.6,0.4,0.6
Buddy Hield,Ind,G,52,25.7,0.848,0.575,0.384,0.575,12,3.2,2.7,0.8,0.6,1.2
Vince Williams Jr.,Mem,G,52,27.6,0.8,0.529,0.378,0.55,10,5.6,3.4,0.9,0.7,1.8
Dennis Schroder,Tor,G,51,30.6,0.852,0.501,0.35,0.511,13.7,2.7,6.1,0.9,0.2,1.6
Talen Horton-Tucker,Uta,G,51,19.8,0.807,0.438,0.33,0.46,10.1,2.4,3.5,0.9,0.4,1.3
Ziaire Williams,Mem,F,51,20.3,0.827,0.487,0.307,0.474,8.2,3.5,1.5,0.7,0.2,1.3
Nick Smith Jr.,Cha,G,51,14.3,0.867,0.35,0.432,0.5,5.9,1.4,1.2,0.2,0.1,0.8
Craig Porter,Cle,G,51,12.7,0.732,0.536,0.353,0.535,5.6,2.1,2.3,0.4,0.3,0.9
Ochai Agbaji,Uta,G,51,19.7,0.75,0.551,0.331,0.52,5.4,2.5,0.9,0.5,0.6,0.7
Evan Mobley,Cle,C,50,30.6,0.719,0.604,0.373,0.6,15.7,9.4,3.2,0.9,1.4,1.8
Jakob Poeltl,Tor,C,50,26.4,0.551,0.656,0,0.656,11.1,8.6,2.5,0.7,1.5,1.5
Simone Fontecchio,Uta,F,50,23.2,0.8,0.56,0.391,0.577,8.9,3.5,1.5,0.6,0.4,1
Kelly Olynyk,Uta,F-C,50,20.4,0.842,0.626,0.429,0.632,8.1,5.1,4.4,0.7,0.2,1.6
Christian Wood,Lal,F,50,17.4,0.702,0.587,0.307,0.532,6.9,5.1,1,0.3,0.7,1
Chris Boucher,Tor,F-C,50,14.1,0.772,0.642,0.33,0.578,6.4,4.1,0.5,0.3,0.5,0.6
Jae Crowder,Mil,F,50,23.1,0.722,0.538,0.349,0.53,6.2,3.2,1.3,0.8,0.2,0.5
Julian Strawther,Den,G,50,10.9,0.71,0.488,0.297,0.462,4.5,1.2,0.9,0.3,0.1,0.5
Anthony Gill,Was,F,50,9.3,0.806,0.546,0.244,0.5,3.8,1.9,0.7,0.3,0.2,0.5
Jalen McDaniels,Tor,F-C,50,10.8,0.73,0.449,0.169,0.376,3.4,1.6,0.7,0.4,0.1,0.6
Johnny Davis,Was,G,50,12.3,0.583,0.421,0.35,0.448,3,1.4,0.6,0.4,0.2,0.3
Precious Achiuwa,Nyk,F,49,24.2,0.643,0.578,0.26,0.547,7.6,7.2,1.1,0.6,1.1,1.1
Royce O'Neale,Bro,F,49,24.5,0.682,0.483,0.366,0.537,7.4,4.5,2.8,0.7,0.6,1
Tristan Thompson,Cle,C-F,49,11.2,0.288,0.619,0,0.613,3.3,3.6,1,0.2,0.3,0.6
GG Jackson,Mem,F,48,25.7,0.752,0.502,0.357,0.519,14.6,4.1,1.2,0.6,0.5,1.4
Spencer Dinwiddie,Bro,G,48,30.7,0.781,0.48,0.32,0.48,12.6,3.3,6,0.8,0.2,1.3
David Roddy,Mem,F,48,23.2,0.687,0.47,0.301,0.462,8.4,4.2,1.6,0.5,0.2,1.1
Cam Reddish,Lal,F-G,48,20.5,0.759,0.435,0.336,0.468,5.4,2.1,1,1,0.3,0.6
Omer Yurtseven,Uta,C,48,11.4,0.679,0.588,0.208,0.552,4.6,4.3,0.6,0.2,0.4,0.8
MarJon Beauchamp,Mil,F,48,12.7,0.679,0.56,0.4,0.578,4.4,2.1,0.6,0.3,0.1,0.6
Alex Len,Sac,C,48,9.3,0.588,0.641,0,0.617,2.5,2.7,1,0.2,0.7,0.6
Cam Whitmore,Hou,F,47,18.7,0.679,0.538,0.359,0.539,12.3,3.8,0.7,0.6,0.4,1
Grant Williams,Dal,F,47,26.4,0.745,0.486,0.376,0.538,8.1,3.6,1.7,0.5,0.6,1.1
Patrick Beverley,Phi,G,47,19.6,0.81,0.523,0.321,0.504,6.3,3.1,3.1,0.5,0.4,1
Cameron Payne,Mil,G,47,14.9,0.841,0.538,0.397,0.572,6.2,1.3,2.3,0.5,0.1,0.7
